[!!!] adbang.papuabaratprov.go.id              | 103.100.27.122
[!!!] admin.saikplus.papuabaratprov.go.id      | IP Not Cached (Requires Active DNS Resolution)
[-] adpem.papuabaratprov.go.id               | 103.100.27.122
[-] adpim.papuabaratprov.go.id               | 103.100.27.122
[!!!] api.esign-client.papuabaratprov.go.id    | IP Not Cached (Requires Active DNS Resolution)
[!!!] apik.papuabaratprov.go.id                | 193.203.172.144
[-] aqsa.papuabaratprov.go.id                | 103.100.27.122
[-] autodiscover.dprpb.dpr.papuabaratprov.go.id | IP Not Cached (Requires Active DNS Resolution)
[-] autodiscover.jurnal.papuabaratprov.go.id | IP Not Cached (Requires Active DNS Resolution)
[-] autodiscover.lms.bpbj.papuabaratprov.go.id | 103.100.27.121
[-] badanpenghubung.papuabaratprov.go.id     | 103.28.12.150
[-] balitbang.papuabaratprov.go.id           | 103.100.27.122
[-] balitbangda.papuabaratprov.go.id         | 202.159.123.40
[-] bangkom.bpsdm.papuabaratprov.go.id       | 103.100.27.121
[-] bapedalda.papuabaratprov.go.id           | IP Not Cached (Requires Active DNS Resolution)
[-] bapenda.papuabaratprov.go.id             | 103.100.27.122
[-] bapokting.papuabaratprov.go.id           | 103.229.74.36
[-] bappeda.papuabaratprov.go.id             | 103.100.27.122
[-] bappenda.papuabaratprov.go.id            | 103.100.27.122
[-] biroekonomi.papuabaratprov.go.id         | 103.100.27.122
[-] birohukum.papuabaratprov.go.id           | 103.100.27.122
[-] birokesra.papuabaratprov.go.id           | 103.100.27.121
[-] biroorganisasi.papuabaratprov.go.id      | 103.100.27.122
[-] biropem.papuabaratprov.go.id             | 103.100.27.122
[-] biroumum.papuabaratprov.go.id            | 103.100.27.122
[-] bkd.papuabaratprov.go.id                 | 36.67.200.227
[-] bpbd.papuabaratprov.go.id                | 103.100.27.122
[-] bpbj.papuabaratprov.go.id                | 103.100.27.122
[-] bpkad.papuabaratprov.go.id               | 103.100.27.122
[-] bplp.papuabaratprov.go.id                | 103.100.27.122
[-] bpm.papuabaratprov.go.id                 | IP Not Cached (Requires Active DNS Resolution)
[-] bpsdm.papuabaratprov.go.id               | 103.100.27.121
[-] bpsdmd.papuabaratprov.go.id              | IP Not Cached (Requires Active DNS Resolution)
[-] brida.papuabaratprov.go.id               | 202.159.123.40
[-] cadangan.papuabaratprov.go.id            | 103.111.219.122
[!!!] cloudbalancer-psp.papuabaratprov.go.id   | 103.100.27.122
[!!!] couchdb.saikplus.papuabaratprov.go.id    | IP Not Cached (Requires Active DNS Resolution)
[-] covid19.papuabaratprov.go.id             | 103.100.27.122
[!!!] cpanel.adbang.papuabaratprov.go.id       | IP Not Cached (Requires Active DNS Resolution)
[-] cpanel.adpim.papuabaratprov.go.id        | IP Not Cached (Requires Active DNS Resolution)
[-] cpanel.bangkom.bpsdm.papuabaratprov.go.id | 103.100.27.121
[-] cpanel.bapedalda.papuabaratprov.go.id    | IP Not Cached (Requires Active DNS Resolution)
[-] cpanel.bapokting.papuabaratprov.go.id    | IP Not Cached (Requires Active DNS Resolution)
[-] cpanel.bappeda.papuabaratprov.go.id      | IP Not Cached (Requires Active DNS Resolution)
[-] cpanel.bappenda.papuabaratprov.go.id     | IP Not Cached (Requires Active DNS Resolution)
[-] cpanel.biroekonomi.papuabaratprov.go.id  | IP Not Cached (Requires Active DNS Resolution)
[-] cpanel.birohukum.papuabaratprov.go.id    | IP Not Cached (Requires Active DNS Resolution)
[-] cpanel.biroorganisasi.papuabaratprov.go.id | IP Not Cached (Requires Active DNS Resolution)
[-] cpanel.biropem.papuabaratprov.go.id      | IP Not Cached (Requires Active DNS Resolution)
[-] cpanel.biroumum.papuabaratprov.go.id     | IP Not Cached (Requires Active DNS Resolution)
[-] cpanel.bpbd.papuabaratprov.go.id         | IP Not Cached (Requires Active DNS Resolution)
[-] cpanel.bpkad.papuabaratprov.go.id        | IP Not Cached (Requires Active DNS Resolution)
[-] cpanel.bplp.papuabaratprov.go.id         | IP Not Cached (Requires Active DNS Resolution)
[-] cpanel.bpsdmd.papuabaratprov.go.id       | IP Not Cached (Requires Active DNS Resolution)
[-] cpanel.covid19.papuabaratprov.go.id      | IP Not Cached (Requires Active DNS Resolution)
[-] cpanel.dinkes.papuabaratprov.go.id       | IP Not Cached (Requires Active DNS Resolution)
